name,url,type
Terence Tao,https://www.math.ucla.edu/~tao/,institutional
Trevor D. Wooley,https://www.math.purdue.edu/people/profile/twooley.html,institutional
Igor E. Shparlinski,https://web.maths.unsw.edu.au/~igorshparlinski/,personal
Kaisa Matomäki,https://users.utu.fi/ksmato/,personal
William D. Banks,https://math.missouri.edu/people/faculty/banks,institutional
Joni Teräväinen,https://sites.google.com/view/joniteravainen/,personal
James Maynard,https://www.maths.ox.ac.uk/people/james.maynard,institutional
Andrew Granville,https://dms.umontreal.ca/~andrew/,personal
Xuancheng Shao,https://math.as.uky.edu/users/xsh228,institutional
Janos Pintz,https://users.renyi.hu/~pintz/,personal
Ben Green,https://people.maths.ox.ac.uk/greenbj/,personal
D. A. Goldston,https://www.sjsu.edu/people/daniel.goldston/,institutional
Tim Browning,https://tdbrowning.github.io/tdb/,personal
Carl Pomerance,https://math.dartmouth.edu/~carlp/,personal
Alessandro Languasco,https://www.dei.unipd.it/~languasco/,personal
Chantal David,https://www.concordia.ca/faculty/chantal-david.html,institutional
D. R. Heath-Brown,https://www.maths.ox.ac.uk/people/roger.heath-brown,institutional
Alexandru Zaharescu,https://faculty.math.illinois.edu/~zaharesc/,personal
Roger Baker,https://math.byu.edu/directory/baker-roger,institutional
Olivier Ramaré,https://ramare-olivier.github.io/,personal
Doychin Tolev,https://www.fmi.uni-sofia.bg/en/faculty/doychin-ivanov-tolev,institutional
Paul Pollack,https://pollack.uga.edu/,personal
Alessandro Zaccagnini,https://people.dmi.unipr.it/alessandro.zaccagnini/,personal
Florian Luca,https://florianluca.com/,personal
Gautami Bhowmik,https://pro.univ-lille.fr/gautami-bhowmik,institutional
Emmanuel Kowalski,https://blogs.ethz.ch/kowalski/,personal
Angel Kumchev,https://wp.towson.edu/akumchev/,personal
Steven J. Miller,https://web.williams.edu/Mathematics/sjmiller/public_html/,personal
Jared Duker Lichtman,https://mathematics.stanford.edu/people/jared-duker-lichtman,institutional
Will Sawin,https://williamsawin.com/,personal
Henryk Iwaniec,https://math.rutgers.edu/people/department-directory/detail/344-department-directory/1759-iwaniec-henryk,institutional
Greg Martin,https://personal.math.ubc.ca/~gerg/,personal
H. A. Helfgott,https://webusers.imj-prg.fr/~harald.helfgott/anglais/,personal
Stephan Baier,https://maths.rkmvu.ac.in/faculty/,institutional
K. Soundararajan,https://math.stanford.edu/~ksound/,personal
Stephan Ramon Garcia,https://stephangarcia.sites.pomona.edu/,personal
Ping Xi,https://pingxicn.wordpress.com/,personal
Alex Kontorovich,https://sites.math.rutgers.edu/~alexk/,personal
Étienne Fouvry,https://www.imo.universite-paris-saclay.fr/~etienne.fouvry/,personal
Karin Halupczok,https://www.math.uni-duesseldorf.de/~khalupczok/,personal
Helmut Maier,https://www.uni-ulm.de/en/mawi/algzt/mitarbeiter/seniorprofessor-dr-helmut-maier/,institutional
Ph. Michel,https://people.epfl.ch/philippe.michel,institutional
John Friedlander,https://www.math.toronto.edu/cms/people/faculty/friedlander-john/,institutional
Victor Z. Guo,https://gr.xjtu.edu.cn/en/web/guozyv,institutional
Tianxin Cai,https://person.zju.edu.cn/en/0087335,institutional
Jörg Brüdern,https://publications.goettingen-research-online.de/cris/rp/rp00088,institutional
Julia Brandes,https://www.math.chalmers.se/~brjulia/,personal
Robert J. Lemke Oliver,https://math.tufts.edu/people/faculty/robert-lemke-oliver,institutional
Liangyi Zhao,https://web.maths.unsw.edu.au/~leezhao/,personal
Tsz Ho Chan,https://umwa.memphis.edu/fcv/viewcv.php?personUUID=tchan,institutional
Jianya Liu,http://www.prime.sdu.edu.cn/info/1023/1151.htm,institutional
