name,oa_author_id
Jörg Brüdern,A5065745043
Xuancheng Shao,A5034391839
Jean Bourgain,A5029411281
Janos Pintz,A5011098253
D. A. Goldston,A5026677636
Pieter Moree,A5009645792
Maksym Radziwiłł,A5027276960
Chantal David,A5047375275
R. C. Vaughan,A5110641967
D. R. Heath-Brown,A5086566271
Roger Baker,A5055397484
Glyn Harman,A5104366123
Doychin Tolev,A5110619142
Paul Pollack,A5089571181
Alberto Perelli,A5047972938
Jianya Liu,A5033916746
Yoichi Motohashi,A5010471114
Antal Balog,A5051928221
Koichi Kawada,A5112704829
Min Zhang,A5100402891
Gautami Bhowmik,A5112004275
Emmanuel Kowalski,A5072422353
Daniel Shanks,A5064820709
Hugh L. Montgomery,A5112093112
Joël Rivat,A5053124379
Henryk Iwaniec,A5038498345
Stephan Baier,A5008642173
S. W. Graham,A5068536507
Alina Carmen Cojocaru,A5101574517
Maxim Aleksandrovich Korolev,A5049750275
Kevin Broughan,A5014422330
Wenguang Zhai,A5101100347
Ping Xi,A5105937570
Jean‐Marc Deshouillers,A5005163295
Étienne Fouvry,A5000094767
Peter Sarnak,A5109077139
Karin Halupczok,A5007423236
Guangshi Lü,A5108378478
Tao Zhan,A5064890065
Helmut Maier,A5061909757
C. Hooley,A5041920407
Hiroshi Mikawa,A5082416692
Ph. Michel,A5051368744
Tianze Wang,A5103281554
Jie Wu,A5066542036
John Friedlander,A5066799294
Victor Z. Guo,A5103246201
Tianxin Cai,A5008878615
G. H. Hardy,A5110397833
Tsz Ho Chan,A5018591556
V. N. Chubarikov,A5041707951
Bruce C. Berndt,A5078409229
Hao Pan,A5103128504
Alexander P. Mangerel,A5007200290
Theresa C. Anderson,A5079190763
Xiumin Ren,A5110131643
Alexander Dunn,A5057324568
András Sárközy,A5050681029
Brian Cook,A5015825949
Cameron L. Stewart,A5102932212
Danilo Bazzanella,A5038160180
Gérald Tenenbaum,A5053988158
Jiseong Kim,A5033219481
Jori Merikoski,A5081227594
Kohji Matsumoto,A5074729377
Leo Goldmakher,A5033716087
Marek Wolf,A5035983011
Matteo Bordignon,A5112259800
Maurizio B. S. Laporta,A5034455809
Michael A. Bennett,A5071414436
Peter D. T. A. Elliott,A5104041193
Ramachandran Balasubramanian,A5087624154
Régis de la Bretèche,A5076000076
Sary Drappeau,A5064074045
Saverio Salerno,A5109963377
Scott T. Parsell,A5079633285
Sergeĭ Vladimirovich Konyagin,A5087367773
Jan Moser,A5071546395
Rainer Dietmann,A5080350415
Priyamvad Srivastav,A5016841358
Cécile Dartyge,A5028842636
Guangshi Lu,A5108378478
Akshat Mudgal,A5029142792
