name,url
Terence Tao,https://scholar.google.com/citations?user=TFx_gLQAAAAJ
Trevor D. Wooley,https://scholar.google.com/citations?user=PC3eS9wAAAAJ
Igor E. Shparlinski,https://scholar.google.com/citations?user=9WgmUesAAAAJ
Kaisa Matomäki,https://scholar.google.com/citations?user=qInWbTIAAAAJ
William D. Banks,https://scholar.google.com/citations?user=xGrGwPAAAAAJ
Joni Teräväinen,https://scholar.google.com/citations?user=tRjKH2sAAAAJ
James Maynard,https://scholar.google.com/citations?user=gGJm5OIAAAAJ
Andrew Granville,https://scholar.google.com/citations?user=veBMlY8AAAAJ
Ben Green,https://scholar.google.com/citations?user=8G6QoyMAAAAJ
Tim Browning,https://scholar.google.com/citations?user=Wgw4eNsAAAAJ
Carl Pomerance,https://scholar.google.com/citations?user=91BJV2YAAAAJ
Alessandro Languasco,https://scholar.google.com/citations?user=s4tmT7cAAAAJ
Alexandru Zaharescu,https://scholar.google.com/citations?user=u5kmnggAAAAJ
Olivier Ramaré,https://scholar.google.com/citations?user=NtRvIOUAAAAJ
Alessandro Zaccagnini,https://scholar.google.com/citations?user=E2QZowsAAAAJ
Jinjiang Li,https://scholar.google.com/citations?user=obTyaOcAAAAJ
Florian Luca,https://scholar.google.com/citations?user=g-eDxl0AAAAJ
Angel Kumchev,https://scholar.google.com/citations?user=LKtnC3sAAAAJ
Steven J. Miller,https://scholar.google.com/citations?user=5B8RWrkAAAAJ
Jared Duker Lichtman,https://scholar.google.com/citations?user=SI0IDlgAAAAJ
Will Sawin,https://scholar.google.com/citations?user=RnVPcI0AAAAJ
Greg Martin,https://scholar.google.com/citations?user=wAtebRAAAAAJ
H. A. Helfgott,https://scholar.google.com/citations?user=zvGGY4wAAAAJ
K. Soundararajan,https://scholar.google.com/citations?user=yo22rUIAAAAJ
S. I. Dimitrov,https://scholar.google.com/citations?user=qzeUwr0AAAAJ
Stephan Ramon Garcia,https://scholar.google.com/citations?user=LlK9Cu4AAAAJ
Alex Kontorovich,https://scholar.google.com/citations?user=HQQAWV8AAAAJ
Ph. Michel,https://scholar.google.com/citations?user=CxnbsMIAAAAJ
Julia Brandes,https://scholar.google.com/citations?user=h631f0wAAAAJ
Robert J. Lemke Oliver,https://scholar.google.com/citations?user=yKGD9ggAAAAJ
Liangyi Zhao,https://scholar.google.com/citations?user=EA0Z3-8AAAAJ
Nicolas Robles,https://scholar.google.com/citations?user=IjZJ6WYAAAAJ
Zhi-Wei Sun,https://scholar.google.com/citations?user=gL3jeH4AAAAJ
Pieter Moree,https://scholar.google.com/citations?user=KAda6AUAAAAJ
Lior Bary-Soroker,https://scholar.google.com/citations?user=DLlx5MEAAAAJ
Richard P. Brent,https://scholar.google.com/citations?user=TRcAF4cAAAAJ
J. P. Keating,https://scholar.google.com/citations?user=sQghW6EAAAAJ
Jan-Christoph Schlage-Puchta,https://scholar.google.com/citations?user=uu0WF-EAAAAJ
Efthymios Sofos,https://scholar.google.com/citations?user=HJZgu6sAAAAJ
M. Ram Murty,https://scholar.google.com/citations?user=U5m5FegAAAAJ
C. Y. Yıldırım,https://scholar.google.com/citations?user=bz8gHQIAAAAJ
Amos Nevo,https://scholar.google.com/citations?user=Tsttgw4AAAAJ
Michael Th. Rassias,https://scholar.google.com/citations?user=Bfdy0JYAAAAJ
Ofir Gorodetsky,https://scholar.google.com/citations?user=uZ8fQI8AAAAJ
Kevin Hughes,https://scholar.google.com/citations?user=bdso5a8AAAAJ
Malik Bataineh,https://scholar.google.com/citations?user=GlN3_fcAAAAJ
Ade Irma Suriajaya,https://scholar.google.com/citations?user=Iupw7soAAAAJ
Christian Elsholtz,https://scholar.google.com/citations?user=khFr0nQAAAAJ
Vivian Kuperberg,https://scholar.google.com/citations?user=aL14PckAAAAJ
Bryce Kerr,https://scholar.google.com/citations?user=ssGYWOQAAAAJ
Valentin Blomer,https://scholar.google.com/citations?user=64Yj4OUAAAAJ
З. Х. Рахмонов,https://scholar.google.com/citations?user=P_LGxMAAAAAJ
Matt Visser,https://scholar.google.com/citations?user=uYKUPTwAAAAJ
Kevin Broughan,https://scholar.google.com/citations?user=8JvjMw8AAAAJ
Hung M. Bui,https://scholar.google.com/citations?user=AmQXG_UAAAAJ
Kyle Pratt,https://scholar.google.com/citations?user=0H5mAo4AAAAJ
Ahmet M. Güloğlu,https://scholar.google.com/citations?user=ID8K6vUAAAAJ
Pär Kurlberg,https://scholar.google.com/citations?user=CDPygqEAAAAJ
Akshat Mudgal,https://scholar.google.com/citations?user=-KiTF74AAAAJ
Claus Bauer,https://scholar.google.com/citations?user=49GMOAkAAAAJ
Emanuel Carneiro,https://scholar.google.com/citations?user=xAdnXykAAAAJ
Kevin Ford,https://scholar.google.com/citations?user=kif1LIcAAAAJ
Min Zhang,https://scholar.google.com/citations?user=BcJLHp4AAAAJ
