name,scholar_id,h_index,i10_index,status
Ade Irma Suriajaya,Iupw7soAAAAJ,7,4,ok
Ahmet M. Güloğlu,ID8K6vUAAAAJ,9,9,ok
Akshat Mudgal,-KiTF74AAAAJ,6,4,ok
Alessandro Languasco,s4tmT7cAAAAJ,18,31,ok
Alessandro Zaccagnini,E2QZowsAAAAJ,18,30,ok
Alex Kontorovich,HQQAWV8AAAAJ,20,29,ok
Alexandru Zaharescu,u5kmnggAAAAJ,31,128,ok
Amos Nevo,Tsttgw4AAAAJ,25,40,ok
Andrew Granville,veBMlY8AAAAJ,44,144,ok
Angel Kumchev,LKtnC3sAAAAJ,16,28,ok
Ben Green,8G6QoyMAAAAJ,47,99,ok
Bryce Kerr,ssGYWOQAAAAJ,10,11,ok
C. Y. Yıldırım,bz8gHQIAAAAJ,15,21,ok
Carl Pomerance,91BJV2YAAAAJ,53,174,ok
Christian Elsholtz,khFr0nQAAAAJ,18,38,ok
Claus Bauer,49GMOAkAAAAJ,22,39,ok
Efthymios Sofos,HJZgu6sAAAAJ,10,11,ok
Emanuel Carneiro,xAdnXykAAAAJ,23,39,ok
Florian Luca,g-eDxl0AAAAJ,42,306,ok
Greg Martin,wAtebRAAAAAJ,17,21,ok
H. A. Helfgott,zvGGY4wAAAAJ,25,42,ok
Hung M. Bui,AmQXG_UAAAAJ,16,25,ok
Igor E. Shparlinski,9WgmUesAAAAJ,53,371,ok
J. P. Keating,sQghW6EAAAAJ,51,141,ok
James Maynard,gGJm5OIAAAAJ,16,25,ok
Jan-Christoph Schlage-Puchta,uu0WF-EAAAAJ,16,29,ok
Jared Duker Lichtman,SI0IDlgAAAAJ,11,11,ok
Jinjiang Li,obTyaOcAAAAJ,7,4,ok
Joni Teräväinen,tRjKH2sAAAAJ,13,19,ok
Julia Brandes,h631f0wAAAAJ,7,6,ok
K. Soundararajan,yo22rUIAAAAJ,46,92,ok
Kaisa Matomäki,qInWbTIAAAAJ,21,38,ok
Kevin Broughan,8JvjMw8AAAAJ,1,0,ok
Kevin Ford,kif1LIcAAAAJ,27,56,ok
Kevin Hughes,bdso5a8AAAAJ,10,11,ok
Kyle Pratt,0H5mAo4AAAAJ,11,11,ok
Liangyi Zhao,EA0Z3-8AAAAJ,13,21,ok
Lior Bary-Soroker,DLlx5MEAAAAJ,13,20,ok
M. Ram Murty,U5m5FegAAAAJ,43,159,ok
Malik Bataineh,GlN3_fcAAAAJ,11,12,ok
Matt Visser,uYKUPTwAAAAJ,102,321,ok
Michael Th. Rassias,Bfdy0JYAAAAJ,28,61,ok
Min Zhang,BcJLHp4AAAAJ,7,4,ok
Nicolas Robles,IjZJ6WYAAAAJ,12,15,ok
Ofir Gorodetsky,uZ8fQI8AAAAJ,10,10,ok
Olivier Ramaré,NtRvIOUAAAAJ,20,36,ok
Ph. Michel,CxnbsMIAAAAJ,37,70,ok
Pieter Moree,KAda6AUAAAAJ,5,2,ok
Pär Kurlberg,CDPygqEAAAAJ,20,34,ok
Richard P. Brent,TRcAF4cAAAAJ,59,181,ok
Robert J. Lemke Oliver,yKGD9ggAAAAJ,14,16,ok
S. I. Dimitrov,qzeUwr0AAAAJ,9,8,ok
Stephan Ramon Garcia,LlK9Cu4AAAAJ,29,72,ok
Steven J. Miller,5B8RWrkAAAAJ,52,216,ok
Terence Tao,TFx_gLQAAAAJ,121,402,ok
Tim Browning,Wgw4eNsAAAAJ,28,72,ok
Trevor D. Wooley,PC3eS9wAAAAJ,35,100,ok
Valentin Blomer,64Yj4OUAAAAJ,34,76,ok
Vivian Kuperberg,aL14PckAAAAJ,4,0,ok
Will Sawin,RnVPcI0AAAAJ,23,36,ok
William D. Banks,xGrGwPAAAAAJ,26,62,ok
Zhi-Wei Sun,gL3jeH4AAAAJ,42,143,ok
З. Х. Рахмонов,P_LGxMAAAAAJ,8,5,ok
