name,code,zbmath_url,wikidata,orcid,mgp,google_scholar
Ade Irma Suriajaya,suriajaya.ade-irma,https://zbmath.org/authors/suriajaya.ade-irma,,,,
Adolf Hildebrand,hildebrand.adolf-j,https://zbmath.org/authors/hildebrand.adolf-j,Q102146360,,23760,
Ahmet M. Güloğlu,guloglu.ahmet-muhtar,https://zbmath.org/authors/guloglu.ahmet-muhtar,,,,
Akash Singha Roy,roy.akash-singha,https://zbmath.org/authors/roy.akash-singha,,,,
Akshaa Vatwani,vatwani.akshaa,https://zbmath.org/authors/vatwani.akshaa,,,,
Akshat Mudgal,mudgal.akshat,https://zbmath.org/authors/mudgal.akshat,,,,
Albert A. Mullin,mullin.albert-a,https://zbmath.org/authors/mullin.albert-a,Q47530333,,,
Alberto Perelli,perelli.alberto,https://zbmath.org/authors/perelli.alberto,Q102253510,,73760,
Alessandro Gambini,gambini.alessandro,https://zbmath.org/authors/gambini.alessandro,,,,
Alessandro Languasco,languasco.alessandro,https://zbmath.org/authors/languasco.alessandro,Q102253573,0000-0003-2723-554X,73786,s4tmT7cAAAAJ
Alessandro Zaccagnini,zaccagnini.alessandro,https://zbmath.org/authors/zaccagnini.alessandro,Q102299670,,99976,
Alex Kontorovich,kontorovich.alex-v,https://zbmath.org/authors/kontorovich.alex-v,Q18616099,0000-0001-7626-8319,110727,HQQAWV8AAAAJ
Alexander Gorodnik,gorodnik.alexander,https://zbmath.org/authors/gorodnik.alexander,Q17521150,,77823,
Alexander P. Mangerel,mangerel.alexander-p,https://zbmath.org/authors/mangerel.alexander-p,,,,
Alexandra Florea,florea.alexandra-m,https://zbmath.org/authors/florea.alexandra-m,,,,
Alexandru Zaharescu,zaharescu.alexandru,https://zbmath.org/authors/zaharescu.alexandru,Q53704105,,18901,
Alina Carmen Cojocaru,cojocaru.alina-carmen,https://zbmath.org/authors/cojocaru.alina-carmen,,,,
Alina Ostafe,ostafe.alina,https://zbmath.org/authors/ostafe.alina,Q102365668,,147157,
Alisa Sedunova,sedunova.alisa,https://zbmath.org/authors/sedunova.alisa,,,,
Amos Nevo,nevo.amos,https://zbmath.org/authors/nevo.amos,Q102302778,,114743,
Andreas Weingartner,weingartner.andreas-j,https://zbmath.org/authors/weingartner.andreas-j,Q102272495,,88074,
Andrew Granville,granville.andrew-j,https://zbmath.org/authors/granville.andrew-j,Q504907,,5613,veBMlY8AAAAJ
Andrew R. Booker,booker.andrew-r,https://zbmath.org/authors/booker.andrew-r,Q85001229,,71607,
Andrés Chirre,chirre.andres,https://zbmath.org/authors/chirre.andres,,,,
Aner Shalev,shalev.aner,https://zbmath.org/authors/shalev.aner,Q775338,,43520,rwAqMRgAAAAJ
Angel Kumchev,kumchev.angel-v,https://zbmath.org/authors/kumchev.angel-v,Q102251427,,72173,
Antal Balog,balog.antal,https://zbmath.org/authors/balog.antal,,,,
Apoloniusz Tyszka,tyszka.apoloniusz,https://zbmath.org/authors/tyszka.apoloniusz,,,,
Arne Winterhof,winterhof.arne,https://zbmath.org/authors/winterhof.arne,Q102181734,,29226,e7fW5BEAAAAJ
Ayla Gafni,gafni.ayla,https://zbmath.org/authors/gafni.ayla,,0000-0003-4226-2175,,
Ben Green,green.ben,https://zbmath.org/authors/green.ben,Q792628,0000-0002-2224-1193,76979,8G6QoyMAAAAJ
Benoit Cloitre,cloitre.benoit,https://zbmath.org/authors/cloitre.benoit,,,,
Bin Chen,chen.bin.18,https://zbmath.org/authors/chen.bin.18,Q102955951,,235410,
Bruce C. Berndt,berndt.bruce-c,https://zbmath.org/authors/berndt.bruce-c,Q381343,,8571,
Bryce Kerr,kerr.bryce,https://zbmath.org/authors/kerr.bryce,,,,
Bryna Kra,kra.bryna,https://zbmath.org/authors/kra.bryna,Q995253,,39209,
C. Hooley,hooley.christopher,https://zbmath.org/authors/hooley.christopher,Q1086757,,42137,
C. Y. Yıldırım,yildirim.cem-yalcin,https://zbmath.org/authors/yildirim.cem-yalcin,Q472787,,16253,
Carl Pomerance,pomerance.carl,https://zbmath.org/authors/pomerance.carl,Q761544,0000-0002-0960-1692,5609,91BJV2YAAAAJ
Chantal David,david.chantal,https://zbmath.org/authors/david.chantal,Q41215763,,36360,
Chaohua Jia,jia.chaohua,https://zbmath.org/authors/jia.chaohua,Q102383246,,155193,
Christian Elsholtz,elsholtz.christian,https://zbmath.org/authors/elsholtz.christian,Q100725715,0000-0002-2960-4030,69154,khFr0nQAAAAJ
Christian Mauduit,mauduit.christian,https://zbmath.org/authors/mauduit.christian,Q66661713,,133972,
Ciprian Demeter,demeter.ciprian,https://zbmath.org/authors/demeter.ciprian,Q29652517,,87157,
Claus Bauer,bauer.claus,https://zbmath.org/authors/bauer.claus,,,,
D. A. Goldston,goldston.daniel-alan,https://zbmath.org/authors/goldston.daniel-alan,Q607250,,32087,
D. R. Heath-Brown,heath-brown.roger,https://zbmath.org/authors/heath-brown.roger,Q951263,0000-0002-0842-6087,70392,
Damaris Schindler,schindler.damaris,https://zbmath.org/authors/schindler.damaris,Q102423761,,185190,
Daniel Shanks,shanks.daniel-c,https://zbmath.org/authors/shanks.daniel-c,Q925184,,125100,
David Lowry-Duda,lowry-duda.david,https://zbmath.org/authors/lowry-duda.david,Q102698633,0000-0002-8543-4558,219943,NtTEmN8AAAAJ
Doychin Tolev,tolev.doychin-i,https://zbmath.org/authors/tolev.doychin-i,,,,
Efthymios Sofos,sofos.efthymios,https://zbmath.org/authors/sofos.efthymios,Q102431560,,191385,
Emanuel Carneiro,carneiro.emanuel,https://zbmath.org/authors/carneiro.emanuel,Q102350000,,134247,
Emmanuel Kowalski,kowalski.emmanuel,https://zbmath.org/authors/kowalski.emmanuel,Q15453820,,68502,
Eric Bach,bach.eric,https://zbmath.org/authors/bach.eric,,,,
Fei Xue,xue.fei.3,https://zbmath.org/authors/xue.fei.3,,,,
Florian Luca,luca.florian,https://zbmath.org/authors/luca.florian,Q20885652,0000-0003-1321-4422,40530,g-eDxl0AAAAJ
Francesco Berto,berto.francesco,https://zbmath.org/authors/berto.francesco,,0000-0003-3246-657X,,
Frank Thorne,thorne.frank,https://zbmath.org/authors/thorne.frank,Q102110364,,124226,
G. H. Hardy,hardy.godfrey-harold,https://zbmath.org/authors/hardy.godfrey-harold,Q184337,,17806,
Gautami Bhowmik,bhowmik.gautami,https://zbmath.org/authors/bhowmik.gautami,,,,
Gergely Harcos,harcos.gergely,https://zbmath.org/authors/harcos.gergely,Q59550591,,69215,
Giovanni Coppola,coppola.giovanni,https://zbmath.org/authors/coppola.giovanni,,0000-0003-2548-7719,,
Glyn Harman,harman.glyn,https://zbmath.org/authors/harman.glyn,Q5572848,,67486,
Gove Effinger,effinger.gove-w,https://zbmath.org/authors/effinger.gove-w,,,,
Grant Cairns,cairns.grant,https://zbmath.org/authors/cairns.grant,,0000-0002-9011-4567,,
Greg Martin,martin.greg,https://zbmath.org/authors/martin.greg,Q102166232,,14785,wAtebRAAAAAJ
Guang Gong,gong.guang,https://zbmath.org/authors/gong.guang,Q27996457,0000-0003-2684-9259,133861,i2vwkRMAAAAJ
Guangshi Lü,lu.guangshi,https://zbmath.org/authors/lu.guangshi,Q102399147,,165218,
H. A. Helfgott,helfgott.harald-andres,https://zbmath.org/authors/helfgott.harald-andres,Q5653809,,69999,zvGGY4wAAAAJ
H. Halberstam,halberstam.heini,https://zbmath.org/authors/halberstam.heini,Q1596236,,864,
H. J. Weber,weber.hans-j,https://zbmath.org/authors/weber.hans-j,,,,
Hao Pan,pan.hao,https://zbmath.org/authors/pan.hao,Q102307482,,108117,
Harold G. Diamond,diamond.harold-george,https://zbmath.org/authors/diamond.harold-george,Q102116359,,9738,
Helmut Maier,maier.helmut,https://zbmath.org/authors/maier.helmut,Q5709706,,2440,
Henryk Iwaniec,iwaniec.henryk,https://zbmath.org/authors/iwaniec.henryk,Q370944,,6181,
Herman te Riele,te-riele.herman,https://zbmath.org/authors/te-riele.herman,Q454904,,46080,
Hiroshi Mikawa,mikawa.hiroshi,https://zbmath.org/authors/mikawa.hiroshi,,,,
Hugh L. Montgomery,montgomery.hugh-l,https://zbmath.org/authors/montgomery.hugh-l,Q740818,,7744,
Hung M. Bui,bui.hung-manh,https://zbmath.org/authors/bui.hung-manh,Q102348915,,133418,
Hywel C Williams,williams.hywel-c,https://zbmath.org/authors/williams.hywel-c,,,,
Igor E. Shparlinski,shparlinski.igor-e,https://zbmath.org/authors/shparlinski.igor-e,Q15436834,0000-0002-5246-9391,197028,9WgmUesAAAAJ
Ilya D. Shkredov,shkredov.ilya-d,https://zbmath.org/authors/shkredov.ilya-d,Q30345007,0000-0002-6445-8390,213045,
Imre Kátai,katai.imre,https://zbmath.org/authors/katai.imre,Q1123718,,141370,M-QN2oEAAAAJ
Imre Z. Ruzsa,ruzsa.imre-z,https://zbmath.org/authors/ruzsa.imre-z,Q1251999,,343335,
J. E. Littlewood,littlewood.john-edensor,https://zbmath.org/authors/littlewood.john-edensor,Q353426,,10463,
J. P. Keating,keating.jonathan-p,https://zbmath.org/authors/keating.jonathan-p,Q15455501,,100095,
James Maynard,maynard.james,https://zbmath.org/authors/maynard.james,Q19655060,0000-0001-5782-7082,178890,gGJm5OIAAAAJ
Jan Moser,mozer.jan,https://zbmath.org/authors/mozer.jan,,,,
Jan-Christoph Schlage-Puchta,schlage-puchta.jan-christoph,https://zbmath.org/authors/schlage-puchta.jan-christoph,,,,
Janos Pintz,pintz.janos,https://zbmath.org/authors/pintz.janos,Q963230,,174063,
Jared Duker Lichtman,lichtman.jared-duker,https://zbmath.org/authors/lichtman.jared-duker,Q123240478,0000-0002-8303-5051,301618,SI0IDlgAAAAJ
Jean Bourgain,bourgain.jean,https://zbmath.org/authors/bourgain.jean,Q260802,,63054,
Jean‐Marc Deshouillers,deshouillers.jean-marc,https://zbmath.org/authors/deshouillers.jean-marc,Q1323950,,62381,
Jerico B. Bacani,bacani.jerico-b,https://zbmath.org/authors/bacani.jerico-b,Q102410716,,175848,
Jerzy Kaczorowski,kaczorowski.jerzy,https://zbmath.org/authors/kaczorowski.jerzy,Q24429791,,156997,
Jesse Thorner,thorner.jesse,https://zbmath.org/authors/thorner.jesse,,,,
Jianya Liu,liu.jianya,https://zbmath.org/authors/liu.jianya,Q102350017,,134263,
Jie Wu,wu.jie.1,https://zbmath.org/authors/wu.jie.1,Q102382580,,154930,
Jinjiang Li,li.jinjiang,https://zbmath.org/authors/li.jinjiang,,,,
John Friedlander,friedlander.john-b,https://zbmath.org/authors/friedlander.john-b,Q470462,,17254,
